flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
544142.06,20.670015,0,0.0013210608,659.3609197641142,250.30163409600422,1105,528528.25,19.914309,2271.9048,1.2379372,544142.06,20.670015,0,,,,,659.3609197641142,3.5010093e-05,250.30163409600422,5.281498e-05,0.009882676,0.039505973
544175.25,20.648754,0,0.0013216557,659.3608725222047,250.30168125655996,1106,528542.0,19.915033,2273.6948,1.2354723,544175.25,20.648754,0,,,,,659.3608725222047,3.5008856e-05,250.30168125655996,5.2808078e-05,0.00979368,0.039649725
544114.3,20.65549,0,0.0013222506,659.3610226906667,250.30178409459512,1107,528470.1,19.913813,2275.0444,1.2318919,544114.3,20.65549,0,,,,,659.3610226906667,3.501403e-05,250.30178409459512,5.281059e-05,0.0099661,0.0397389
544097.56,20.646793,0,0.0013228453,659.3611123331335,250.30153445403982,1108,528402.5,19.911415,2279.0027,1.2336866,544097.56,20.646793,0,,,,,659.3611123331335,3.5016677e-05,250.30153445403982,5.2830816e-05,0.01000363,0.039322056
544053.06,20.672178,0,0.00132344,659.3607751536674,250.30121459748537,1109,528435.7,19.911806,2273.3557,1.2351967,544053.06,20.672178,0,,,,,659.3607751536674,3.501361e-05,250.30121459748537,5.2811338e-05,0.0096937595,0.039238498
544143.44,20.67662,0,0.0013240346,659.3607126935508,250.30108192503198,1110,528517.75,19.91311,2275.8892,1.2334065,544143.44,20.67662,0,,,,,659.3607126935508,3.5011915e-05,250.30108192503198,5.281646e-05,0.009693247,0.03906435
544165.2,20.665571,0,0.0013246292,659.3607735171158,250.3009173077983,1111,528521.25,19.913477,2271.926,1.2407585,544165.2,20.665571,0,,,,,659.3607735171158,3.5009416e-05,250.3009173077983,5.281919e-05,0.009681274,0.03881456
544154.06,20.669273,0,0.0013252237,659.3604756359136,250.30076529476122,1112,528551.4,19.913393,2273.4934,1.2317692,544154.06,20.669273,0,,,,,659.3604756359136,3.5008743e-05,250.30076529476122,5.2804087e-05,0.009424608,0.038896635
544167.0,20.655243,0,0.0013258181,659.3605118143525,250.30066330119277,1113,528553.8,19.913694,2273.3257,1.235175,544167.0,20.655243,0,,,,,659.3605118143525,3.5008503e-05,250.30066330119277,5.2807103e-05,0.009498926,0.038854126
544178.6,20.65917,0,0.0013264124,659.3605594868629,250.30045783100047,1114,528564.6,19.913872,2271.3928,1.2362701,544178.6,20.65917,0,,,,,659.3605594868629,3.50089e-05,250.30045783100047,5.2808988e-05,0.009434839,0.03857382
544115.5,20.645891,0,0.0013270067,659.3606313211857,250.30053723028806,1115,528459.06,19.91219,2270.3242,1.234408,544115.5,20.645891,0,,,,,659.3606313211857,3.5014386e-05,250.30053723028806,5.2823605e-05,0.009614756,0.038579874
